Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Teng M., Li S., Xing J., Song G., Yang J., Dong J., Zeng X., Qin Y.","57205419250;57221639771;25937584800;57224096598;57221480049;57224976283;57300477500;57386937000;","24-Hour prediction of PM2.5 concentrations by combining empirical mode decomposition and bidirectional long short-term memory neural network",2022,"Science of the Total Environment","821",,"153276","","",,,"10.1016/j.scitotenv.2022.153276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123691969&doi=10.1016%2fj.scitotenv.2022.153276&partnerID=40&md5=7a7de9d26be8f885f1cf03be52781e85","Bidirectional long and short-term memory neural network; Deep learning; Empirical mode decomposition; PM2.5","Brain; Long short-term memory; Signal processing; Accurate prediction; Bidirectional long and short-term memory neural network; Deep learning; Empirical Mode Decomposition; Human health; Learning methods; Long and short term memory; Neural-networks; PM 2.5; Short term; Forecasting; artificial neural network; concentration (composition); decomposition analysis; memory; particulate matter; performance assessment; article; deep learning; empirical mode decomposition; entropy; human; long short term memory network; particulate matter 2.5; prediction; air pollutant; forecasting; particulate matter; short term memory; Air Pollutants; Entropy; Forecasting; Humans; Memory, Short-Term; Neural Networks, Computer; Particulate Matter",Article,Scopus,2-s2.0-85123691969
"Qing X., Wang Y., Lu X., Li H., Wang X., Li H., Xie X.","57645796400;57222905245;55794820600;57644309100;7501865803;57196359667;57199050222;","NemaRec: A deep learning-based web application for nematode image identification and ecological indices calculation",2022,"European Journal of Soil Biology","110",,"103408","","",,,"10.1016/j.ejsobi.2022.103408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128977662&doi=10.1016%2fj.ejsobi.2022.103408&partnerID=40&md5=a964357355c01b1da81544f4e2c12315","Biodiversity; Convolutional neural networks; Machine learning; Maturity index; Soil ecology",,Article,Scopus,2-s2.0-85128977662
"Zheng H., Liu B., Han S., Fan X., Zou T., Zhou Z., Gong H.","57581155400;56464425200;57215499164;57580668700;57578081300;7406092969;57199870460;","Research on landslide hazard spatial prediction models based on deep neural networks: a case study of northwest Sichuan, China",2022,"Environmental Earth Sciences","81","9","258","","",,,"10.1007/s12665-022-10369-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128467624&doi=10.1007%2fs12665-022-10369-x&partnerID=40&md5=16ea62cd8b3377c0e1bee6bd8a1bc508","DNN; Landslide hazard; Landslide spatial prediction modeling; Wenchuan earthquake","Deep neural networks; Disaster prevention; Disasters; Faulting; Forecasting; Hazards; Landslides; Lithology; Losses; Earthquake-induced landslides; Information entropy; Landslide hazard; Landslide spatial prediction modeling; Landslide susceptibility; Normalized difference vegetation index; Peak ground acceleration; Spatial prediction modeling; Study areas; Wenchuan Earthquake; Earthquakes; algorithm; disaster management; earthquake damage; landslide; Sichuan earthquake 2008; spatial distribution; China",Article,Scopus,2-s2.0-85128467624
"Quinn C.A., Burns P., Gill G., Baligar S., Snyder R.L., Salas L., Goetz S.J., Clark M.L.","57560638900;57211487053;57560200300;57188762715;57559540500;7006018292;35607650700;35247685500;","Soundscape classification with convolutional neural networks reveals temporal and geographic patterns in ecoacoustic data",2022,"Ecological Indicators","138",,"108831","","",,,"10.1016/j.ecolind.2022.108831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127462954&doi=10.1016%2fj.ecolind.2022.108831&partnerID=40&md5=51be0740085e5d494ce16688629a5067","Anthropophony; Biophony; Convolutional neural network (CNN); Ecoacoustics; Machine learning; Naturally quiet landscapes; Soundscape ecology","Agriculture; Animals; Biodiversity; Classification (of information); Conservation; Convolution; Deep learning; Ecosystems; Forecasting; Large dataset; Statistical tests; Urban growth; Acoustic data; Anthropophony; Biophony; Convolutional neural network; Ecoacoustic; Labeled dataset; Naturally quiet landscape; Soundscape ecology; Soundscapes; Convolutional neural networks; acoustic data; animal community; artificial neural network; biodiversity; classification; environmental planning; machine learning; noise; vocalization; California; Sonoma County; United States",Article,Scopus,2-s2.0-85127462954
"Wenxiang D., Caiyun Z., Shaoping S., Xueding L.","57483865900;57484034100;57483355700;57214898812;","Optimization of deep learning model for coastal chlorophyll a dynamic forecast",2022,"Ecological Modelling","467",,"109913","","",,,"10.1016/j.ecolmodel.2022.109913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126095918&doi=10.1016%2fj.ecolmodel.2022.109913&partnerID=40&md5=fed2f5362144737a0ed7c10f8bf2da02","Chlorophyll dynamic forecast; Deep learning; Relative change rate; Xiamen Bay","Forecasting; Long short-term memory; Algal biomass; Chlorophyll a; Chlorophyll dynamic forecast; Deep learning; Dynamic forecast; Forecast models; Learning models; Optimisations; Relative change rate; Xiamen bay; Chlorophyll; algal bloom; biomass; chlorophyll; chlorophyll a; ecological modeling; forecasting method; optimization; seasonal variation; China; Fujian; Xiamen Bay",Article,Scopus,2-s2.0-85126095918
"Wang T., Zhao L., Li B., Liu X., Xu W., Li J.","57220071653;57223232591;56033538800;57439072400;57218526043;56152308300;","Recognition and counting of typical apple pests based on deep learning",2022,"Ecological Informatics","68",,"101556","","",,,"10.1016/j.ecoinf.2022.101556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123980800&doi=10.1016%2fj.ecoinf.2022.101556&partnerID=40&md5=c4d794283c5bacc1b2bde384e693df21","Apple pests; Counting; Data reorganisation; Deep learning; Image recognition; MPest-RCNN; Sex attractant","artificial intelligence; complexity; informatics; learning; recognition; sensitivity analysis",Article,Scopus,2-s2.0-85123980800
"Wu T.-Y., Yeh K.-T., Hsu H.-C., Yang C.-K., Tsai M.-J., Kuo Y.-F.","57374177900;57374361600;55823026900;56193204900;57189464006;55823045200;","Identifying Fagaceae and Lauraceae species using leaf images and convolutional neural networks",2022,"Ecological Informatics","68",,"101513","","",,1,"10.1016/j.ecoinf.2021.101513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121274165&doi=10.1016%2fj.ecoinf.2021.101513&partnerID=40&md5=0753852db11ec4efa64831ecb540149e","Deep learning; Leaf morphology; Plant identification; Pruning; Saliency map","artificial island; artificial neural network; dicotyledon; ecological modeling; legume; pruning; woody plant; Taiwan",Article,Scopus,2-s2.0-85121274165
"Toğaçar M.","57205581917;","Using DarkNet models and metaheuristic optimization methods together to detect weeds growing along with seedlings",2022,"Ecological Informatics","68",,"101519","","",,,"10.1016/j.ecoinf.2021.101519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121274100&doi=10.1016%2fj.ecoinf.2021.101519&partnerID=40&md5=62322e4d7b0370bb88906e08cd898367","Decision support system; Deep learning; Metaheuristic optimization; Seedling species; Weeds","crop damage; detection method; ecological modeling; optimization; seedling; weed; weed control",Article,Scopus,2-s2.0-85121274100
"Stupariu M.-S., Cushman S.A., Pleşoianu A.-I., Pătru-Stupariu I., Fürst C.","6504741515;7006293279;57216752880;43261733900;55971391700;","Machine learning in landscape ecological analysis: a review of recent approaches",2022,"Landscape Ecology","37","5",,"1227","1250",,1,"10.1007/s10980-021-01366-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120385003&doi=10.1007%2fs10980-021-01366-9&partnerID=40&md5=77b040df42220f0416243e48bec63076","Artificial intelligence; Classification; Clustering; Data analysis; Landscape ecology; Machine learning; Modelling; Prediction",,Review,Scopus,2-s2.0-85120385003
"Yin C., Zeng T., Zhang H., Fu W., Wang L., Yao S.","57610898700;57535901000;56970632000;56970370400;57191276590;57611572700;","Maize Small Leaf Spot Classification Based on Improved Deep Convolutional Neural Networks with a Multi-Scale Attention Mechanism",2022,"Agronomy","12","4","906","","",,,"10.3390/agronomy12040906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128750627&doi=10.3390%2fagronomy12040906&partnerID=40&md5=94843a19652d573f18606f47f90346c1","deep learning; dilated inception; disease grading; multi-scale feature extraction; small spot disease",,Article,Scopus,2-s2.0-85128750627
"Sondhi Y., Jo N.J., Alpizar B., Markee A., Dansby H.E., Currea J.P., Fabian S.T., Ruiz C., Barredo E., Allen P., DeGennaro M., Kawahara A.Y., Theobald J.C.","57193932552;57272393300;57274105000;53880093600;57272637500;57202333636;57191258522;57200651907;57215723960;56594246300;22943330300;12805415000;9739678200;","Portable locomotion activity monitor (pLAM): A cost-effective setup for robust activity tracking in small animals",2022,"Methods in Ecology and Evolution","13","4",,"805","812",,,"10.1111/2041-210X.13809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125779538&doi=10.1111%2f2041-210X.13809&partnerID=40&md5=599cfe18191d3b3647afe2863d3abecd","activity detector; animal motion tracking; circadian rhythm; insect diel activity; low cost",,Article,Scopus,2-s2.0-85125779538
"Sun W., Xu Z.","57217329504;57256303600;","A hybrid Daily PM2.5 concentration prediction model based on secondary decomposition algorithm, mode recombination technique and deep learning",2022,"Stochastic Environmental Research and Risk Assessment","36","4",,"1143","1162",,1,"10.1007/s00477-021-02100-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122331862&doi=10.1007%2fs00477-021-02100-2&partnerID=40&md5=f34cc13dd05d1cd30adaf85ce8bcabac","Adaptive variational mode decomposition; Complete ensemble empirical mode decomposition with adaptive noise; Long short-term memory network; PM2.5 concentration prediction; Sample entropy","Brain; Entropy; Forecasting; Public health; Adaptive noise; Adaptive variational mode decomposition; Complete ensemble empirical mode decomposition with adaptive noise; Concentration prediction; Empirical Mode Decomposition; Long short-term memory network; Memory network; Mode decomposition; PM 2.5; PM2.5 concentration prediction; Sample entropy; Long short-term memory; algorithm; concentration (composition); decomposition analysis; haze; machine learning; particulate matter; prediction",Article,Scopus,2-s2.0-85122331862
"Yang Y., Shen Z., Bissett A., Viscarra Rossel R.A.","57194400145;57221371781;12782495100;55900800400;","Estimating soil fungal abundance and diversity at a macroecological scale with deep learning spectrotransfer functions",2022,"SOIL","8","1",,"223","235",,,"10.5194/soil-8-223-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127581926&doi=10.5194%2fsoil-8-223-2022&partnerID=40&md5=4518e97f035367165dbbba5d6e693215",,"abundance; dominance; ecosystem function; fungus; machine learning; macroecology; microbial community; soil microorganism; species diversity",Article,Scopus,2-s2.0-85127581926
"Stowell D.","26649050000;","Computational bioacoustics with deep learning: a review and roadmap",2022,"PeerJ",,,"e13152","","",,,"10.7717/peerj.13152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127071687&doi=10.7717%2fpeerj.13152&partnerID=40&md5=8cbb0c0cbdabdf2b7d1e2d039f545fa1","Acoustics; Animal vocal behaviour; Bioacoustics; Deep learning; Machine learning; Passive acoustic monitoring; Sound","acoustics; animal behavior; deep learning; human; human experiment; image processing; information science; machine learning; music; review; sound; speech",Review,Scopus,2-s2.0-85127071687
"Katal N., Rzanny M., Mäder P., Wäldchen J.","57214457034;54929820500;35586964300;35757099700;","Deep Learning in Plant Phenological Research: A Systematic Literature Review",2022,"Frontiers in Plant Science","13",,"805738","","",,,"10.3389/fpls.2022.805738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127816856&doi=10.3389%2ffpls.2022.805738&partnerID=40&md5=ae37cfd5c740be2da324b56aa85f5d40","deep learning; drones; herbarium specimen; machine learning; PhenoCams; phenology; phenology monitoring; remote sensing",,Review,Scopus,2-s2.0-85127816856
"Huy B., Truong N.Q., Khiem N.Q., Poudel K.P., Temesgen H.","57189903514;57424065600;57423768700;55932097700;6602789854;","Deep learning models for improved reliability of tree aboveground biomass prediction in the tropical evergreen broadleaf forests",2022,"Forest Ecology and Management","508",,"120031","","",,,"10.1016/j.foreco.2022.120031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123355204&doi=10.1016%2fj.foreco.2022.120031&partnerID=40&md5=5647d6e511563ae7a7b0fda6010e1a9a","Aboveground biomass; Artificial intelligence; Deep learning; Evergreen broadleaf forest; Forest carbon sequestration","Biomass; Carbon; Deep learning; Deforestation; Ecology; Regression analysis; Reliability; Tropics; Aboveground biomass; Broadleaf forest; Deep learning; Diameter-at-breast heights; Ecoregions; Evergreen broadleaf forest; Forest carbon sequestration; Learning models; Regression equation; Wood density; Forecasting; aboveground biomass; allometry; basal area; ecological modeling; forest ecosystem; rainfall; rainforest; Biomass; Carbon; Deforestation; Ecology; Regression Analysis; Reliability; Viet Nam",Article,Scopus,2-s2.0-85123355204
"Li D., Wang Q., Li X., Niu M., Wang H., Liu C.","12800336700;57208587946;56386356300;57559734400;57196432226;35337306800;","Recent advances of machine vision technology in fish classification",2022,"ICES Journal of Marine Science","79","2",,"263","284",,,"10.1093/icesjms/fsab264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127474516&doi=10.1093%2ficesjms%2ffsab264&partnerID=40&md5=1a819a458ddf51cb5701d7ad35cc125a","computer vision; fish classification; machine learning","algorithm; fish; machine learning; numerical model",Review,Scopus,2-s2.0-85127474516
"Goodwin M., Halvorsen K.T., Jiao L., Knausgård K.M., Martin A.H., Moyano M., Oomen R.A., Rasmussen J.H., Sørdalen T.K., Thorbjørnsen S.H.","37017029800;57193510555;35868065100;57209746283;57221994959;25930161400;42561748300;56982404100;57188459500;57202056984;","Unlocking the potential of deep learning for marine ecology: Overview, applications, and outlook",2022,"ICES Journal of Marine Science","79","2",,"319","336",,2,"10.1093/icesjms/fsab255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127270524&doi=10.1093%2ficesjms%2ffsab255&partnerID=40&md5=120753c57509dbdcd07a13e2b0ef2fa8","artificial intelligence; ecosystem-based management; machine learning; marine bioacoustics; marine monitoring","algorithm; aquatic organism by aquatic zone; marine environment",Article,Scopus,2-s2.0-85127270524
"Luo L., Chen M., Dong L., Su W., Li X., Hu X., Zhang X., Li C., Cheng W., Shi H., Luo J.","57216612965;57343055000;57553033800;57199701309;57552576100;56237390300;57553277200;57209178559;57413271500;57553508400;7404183561;","Intelligent Identification of Building Patches and Assessment of Roof Greening Suitability in High-density Urban Areas: A Case Study of Chengdu [高密度城区建筑图斑智能识别与屋顶绿化适建性评估--以成都市为例]",2022,"Journal of Resources and Ecology","13","2",,"247","256",,,"10.5814/j.issn.1674-764x.2022.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127209272&doi=10.5814%2fj.issn.1674-764x.2022.02.008&partnerID=40&md5=ad4956e4becdc3246ab6f4694a7ce3ba","Deep learning; Roof greening; Spatial join; Suitability assessment; Weighted overlay",,Article,Scopus,2-s2.0-85127209272
"Roy A., Bertrand S.L., Fablet R.","57218219999;57547474500;6603508732;","Deep inference of seabird dives from GPS-only records: Performance and generalization properties",2022,"PLoS Computational Biology","18","3","e1009890","","",,,"10.1371/journal.pcbi.1009890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126913455&doi=10.1371%2fjournal.pcbi.1009890&partnerID=40&md5=dcbe12e099049da65186b260035b9c1d",,"animal behavior; Article; Brazil; classification; convolutional neural network; deep learning; deep neural network; ecosystem; foraging behavior; global positioning system; hidden Markov model; nonhuman; organism colony; physical performance; prediction; reasoning; seabird; transfer of learning; animal; bird; diving; ecosystem; Animals; Behavior, Animal; Birds; Diving; Ecosystem; Neural Networks, Computer",Article,Scopus,2-s2.0-85126913455
"Abulaiti A., Nurmemet I., Muhetaer N., Xiao S., Zhao J.","57415768600;56575085200;57415768500;57416286800;57415647700;","Monitoring of Soil Salinization in the Keriya Oasis Based on Deep Learning with PALSAR-2 and Landsat-8 Datasets",2022,"Sustainability (Switzerland)","14","5","2666","","",,,"10.3390/su14052666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125779234&doi=10.3390%2fsu14052666&partnerID=40&md5=925ecf30686ea9773cfb2ff99d074a69","Deep learning; PALSAR-2; Polarimetric decomposition; Soil salinization","data set; decomposition analysis; environmental monitoring; Landsat; machine learning; PALSAR; salinization; China; Keriya Oasis; Xinjiang Uygur",Article,Scopus,2-s2.0-85125779234
"Lu K., Xu R., Li J., Lv Y., Lin H., Liu Y.","57222132020;57215965984;57193328320;57474990200;36640121300;50361644400;","A Vision‐Based Detection and Spatial Localization Scheme for Forest Fire Inspection from UAV",2022,"Forests","13","3","383","","",,,"10.3390/f13030383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125619029&doi=10.3390%2ff13030383&partnerID=40&md5=bff3eade37e0d4c84882d5b05c55a6d5","Coordinate frame conversion; Deep learning; Forest fire detection; Object detection; Spatial localization","Aircraft detection; Antennas; Deep learning; Deforestation; Fire detectors; Fire hazards; Object detection; Stereo image processing; Stereo vision; Unmanned aerial vehicles (UAV); Coordinate frame conversion; Deep learning; Fire areas; Fire inspection; Forest fire detection; Forest fires; Localization schemes; Prevention and controls; Spatial localization; Vision-based detection; Fires; Area; Data; Deforestation; Detection; Fire Detectors; Forest Fires; Precision; Systems",Article,Scopus,2-s2.0-85125619029
"Li L., Mu X., Chianucci F., Qi J., Jiang J., Zhou J., Chen L., Huang H., Yan G., Liu S.","56716961500;8271769900;46461076000;56709162900;57222142201;57439289600;36707366800;16063965400;7202089880;57439810400;","Ultrahigh-resolution boreal forest canopy mapping: Combining UAV imagery and photogrammetric point clouds in a deep-learning-based approach",2022,"International Journal of Applied Earth Observation and Geoinformation","107",,"102686","","",,,"10.1016/j.jag.2022.102686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123997011&doi=10.1016%2fj.jag.2022.102686&partnerID=40&md5=d419310dbad72121c87ce5a355924d65","Canopy mapping; Crown cover; Image overlap; Self-supervised deep learning; SfM point cloud; UAV imagery","boreal forest; forest canopy; forest cover; imagery; machine learning; mapping; photogrammetry; unmanned vehicle",Article,Scopus,2-s2.0-85123997011
"Cao H., Han L., Li L.","57200195116;35302075400;57217587775;","A deep learning method for cyanobacterial harmful algae blooms prediction in Taihu Lake, China",2022,"Harmful Algae","113",,"102189","","",,1,"10.1016/j.hal.2022.102189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123604604&doi=10.1016%2fj.hal.2022.102189&partnerID=40&md5=2522ccf4ff266429c4e2ffd3d7cc93a8","CNN; CyanoHABs; LSTM; MODIS; Taihu Lake","algal bloom; China; environmental monitoring; lake; microbiology; China; Deep Learning; Environmental Monitoring; Harmful Algal Bloom; Lakes",Article,Scopus,2-s2.0-85123604604
"Shang Z., Wang X., Jiang Y., Li Z., Ning J.","57421085500;57421735200;55733627100;14068857800;14009154800;","Identifying rumen protozoa in microscopic images of ruminant with improved YOLACT instance segmentation",2022,"Biosystems Engineering","215",,,"156","169",,,"10.1016/j.biosystemseng.2022.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123246683&doi=10.1016%2fj.biosystemseng.2022.01.005&partnerID=40&md5=0f3dcc8f135e5282c0a6d1bcb0b635ac","Deep learning; Instance segmentation; Microscopic image; Rumen protozoa; Ruminant","Chemical activation; Deep learning; Image enhancement; Instance Segmentation; Protozoa; Wages; Activation functions; Behavior analysis; Deep learning; Image datasets; Learning methods; Microscopic image; Population structures; Rumen protozoa; Species identification; Structure survey; Mammals",Article,Scopus,2-s2.0-85123246683
