Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Helman D.S.","57202907201;","Finding or Creating a Living Organism? Past and Future Thought Experiments in Astrobiology Applied to Artificial Intelligence",2022,"Acta Biotheoretica","70","2","13","","",,,"10.1007/s10441-022-09438-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128884563&doi=10.1007%2fs10441-022-09438-2&partnerID=40&md5=961347f11cfabf0fa6d70e7cc9337115","Artificial life; Axiom of choice; Biosemiotics; Chirality; Consciousness; Darwinian evolution; Definition of life; Ecology; Nucleic acid; Quantum mechanics; Systems; Thermodynamics",,Article,Scopus,2-s2.0-85128884563
"Dussarrat T., Prigent S., Latorre C., Bernillon S., Flandin A., Díaz F.P., Cassan C., Van Delft P., Jacob D., Varala K., Joubes J., Gibon Y., Rolin D., Gutiérrez R.A., Pétriacq P.","57225991897;56362383500;7005764439;23059387100;57211181507;57205852822;57215577270;57215971801;15757338400;57558560300;6603041872;6603662917;6602506131;7201937337;41662200300;","Predictive metabolomics of multiple Atacama plant species unveils a core set of generic metabolites for extreme climate resilience",2022,"New Phytologist","234","5",,"1614","1628",,,"10.1111/nph.18095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127379250&doi=10.1111%2fnph.18095&partnerID=40&md5=5bf8bfde25aabfdeba69c715e752b948","adaptation; extreme environments; multiple species; plant metabolism; predictive metabolomics",,Article,Scopus,2-s2.0-85127379250
"Fennell M., Beirne C., Burton A.C.","57222193109;55868016300;55789505883;","Use of object detection in camera trap image identification: Assessing a method to rapidly and accurately classify human and animal detections for research and application in recreation ecology",2022,"Global Ecology and Conservation","35",,"e02104","","",,,"10.1016/j.gecco.2022.e02104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127164878&doi=10.1016%2fj.gecco.2022.e02104&partnerID=40&md5=f3699579a6a9423b29f26a481aba90d3","Artificial intelligence; Computer vision; Human-wildlife Interactions; Remote camera; Species Classification",,Article,Scopus,2-s2.0-85127164878
"Richards D.R., Lavorel S.","57197839233;7003422919;","Integrating social media data and machine learning to analyse scenarios of landscape appreciation",2022,"Ecosystem Services","55",,"101422","","",,,"10.1016/j.ecoser.2022.101422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126605280&doi=10.1016%2fj.ecoser.2022.101422&partnerID=40&md5=8161c623371d268a3007abe35af697d7","Ecosystem services; Native forest; Restoration; Sensitivity analysis; Spatial mismatch",,Article,Scopus,2-s2.0-85126605280
"Zhang J., Fang S., Liu H.","37119701100;7402422546;57412132400;","Estimation of alpine grassland above-ground biomass and its response to climate on the Qinghai-Tibet Plateau during 2001 to 2019",2022,"Global Ecology and Conservation","35",,"e02065","","",,,"10.1016/j.gecco.2022.e02065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125229869&doi=10.1016%2fj.gecco.2022.e02065&partnerID=40&md5=3af81b20d42e288ed1d9d5f5c8fe8c41","Above-ground grassland biomass; Climate change; Qinghai-Tibet Plateau; Random Forest",,Article,Scopus,2-s2.0-85125229869
"Zhang S., Wang R.","57457833100;56041518400;","Machine learning-based classification of woodland bitter vine (Mikania micrantha Kunth)",2022,"Trees, Forests and People","8",,"100219","","",,,"10.1016/j.tfp.2022.100219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124827513&doi=10.1016%2fj.tfp.2022.100219&partnerID=40&md5=be53c33aea75556c13de886cd19ac954","Aerial image; Deep learning; Invasive species; Random forest; Remote sensing; Supervised classification","aerial survey; back propagation; imagery; invasive species; machine learning; supervised classification; vegetation cover; vine; China; Guangdong; Guangzhou",Article,Scopus,2-s2.0-85124827513
"Jin Y.-S., Hou F.-J.","57575336700;7007178619;","Determination of the nutrient digestibility of herbage consumed by grazing animals [放牧家畜养分消化率的测定]",2022,"Acta Prataculturae Sinica","31","5",,"200","212",,,"10.11686/cyxb2021089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128231877&doi=10.11686%2fcyxb2021089&partnerID=40&md5=8d269969a21248b2f4364c1a43953cf0","Climate; Forage quality; Grassland; Indicator method; NIRS; Nutrient digestibility; Total fecal collection method",,Article,Scopus,2-s2.0-85128231877
"Scherrer R., Donihue C.M., Reynolds R.G., Losos J.B., Geneva A.J.","57669856600;55969514200;20436589600;26643015900;55327705300;","Dewlap colour variation in Anolis sagrei is maintained among habitats within islands of the West Indies",2022,"Journal of evolutionary biology","35","5",,"680","692",,,"10.1111/jeb.14002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129531282&doi=10.1111%2fjeb.14002&partnerID=40&md5=711966171a356e2a88e2bcba49c0b9b1","adaptation; machine learning; polymorphism; reflectance; sexual signal","Anolis; article; Bahamas; Cayman Islands; coppice; forest; gene flow; genetic association; genetic isolation by distance; habitat; human; local adaptation; machine learning; mangrove; nonhuman; phenotype; reflectometry; scrub; seashore; sexual selection; supervised machine learning",Article,Scopus,2-s2.0-85129531282
"Qing X., Wang Y., Lu X., Li H., Wang X., Li H., Xie X.","57645796400;57222905245;55794820600;57644309100;7501865803;57196359667;57199050222;","NemaRec: A deep learning-based web application for nematode image identification and ecological indices calculation",2022,"European Journal of Soil Biology","110",,"103408","","",,,"10.1016/j.ejsobi.2022.103408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128977662&doi=10.1016%2fj.ejsobi.2022.103408&partnerID=40&md5=a964357355c01b1da81544f4e2c12315","Biodiversity; Convolutional neural networks; Machine learning; Maturity index; Soil ecology",,Article,Scopus,2-s2.0-85128977662
"Zheng H., Liu B., Han S., Fan X., Zou T., Zhou Z., Gong H.","57581155400;56464425200;57215499164;57580668700;57578081300;7406092969;57199870460;","Research on landslide hazard spatial prediction models based on deep neural networks: a case study of northwest Sichuan, China",2022,"Environmental Earth Sciences","81","9","258","","",,,"10.1007/s12665-022-10369-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128467624&doi=10.1007%2fs12665-022-10369-x&partnerID=40&md5=16ea62cd8b3377c0e1bee6bd8a1bc508","DNN; Landslide hazard; Landslide spatial prediction modeling; Wenchuan earthquake","Deep neural networks; Disaster prevention; Disasters; Faulting; Forecasting; Hazards; Landslides; Lithology; Losses; Earthquake-induced landslides; Information entropy; Landslide hazard; Landslide spatial prediction modeling; Landslide susceptibility; Normalized difference vegetation index; Peak ground acceleration; Spatial prediction modeling; Study areas; Wenchuan Earthquake; Earthquakes; algorithm; disaster management; earthquake damage; landslide; Sichuan earthquake 2008; spatial distribution; China",Article,Scopus,2-s2.0-85128467624
"Quinn C.A., Burns P., Gill G., Baligar S., Snyder R.L., Salas L., Goetz S.J., Clark M.L.","57560638900;57211487053;57560200300;57188762715;57559540500;7006018292;35607650700;35247685500;","Soundscape classification with convolutional neural networks reveals temporal and geographic patterns in ecoacoustic data",2022,"Ecological Indicators","138",,"108831","","",,,"10.1016/j.ecolind.2022.108831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127462954&doi=10.1016%2fj.ecolind.2022.108831&partnerID=40&md5=51be0740085e5d494ce16688629a5067","Anthropophony; Biophony; Convolutional neural network (CNN); Ecoacoustics; Machine learning; Naturally quiet landscapes; Soundscape ecology","Agriculture; Animals; Biodiversity; Classification (of information); Conservation; Convolution; Deep learning; Ecosystems; Forecasting; Large dataset; Statistical tests; Urban growth; Acoustic data; Anthropophony; Biophony; Convolutional neural network; Ecoacoustic; Labeled dataset; Naturally quiet landscape; Soundscape ecology; Soundscapes; Convolutional neural networks; acoustic data; animal community; artificial neural network; biodiversity; classification; environmental planning; machine learning; noise; vocalization; California; Sonoma County; United States",Article,Scopus,2-s2.0-85127462954
"Hirn J., García J.E., Montesinos-Navarro A., Sánchez-Martín R., Sanz V., Verdú M.","12782282400;57226341069;36659641700;57202607017;7004910942;7006992956;","A deep Generative Artificial Intelligence system to predict species coexistence patterns",2022,"Methods in Ecology and Evolution","13","5",,"1052","1061",,,"10.1111/2041-210X.13827","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125674293&doi=10.1111%2f2041-210X.13827&partnerID=40&md5=4f8abe8e49bb72fadc0d50d194f3b038","artificial intelligence; direct interactions; generative adversarial networks; indirect interactions; species coexistence; variational AutoEncoders",,Article,Scopus,2-s2.0-85125674293
"Wang T., Zhao L., Li B., Liu X., Xu W., Li J.","57220071653;57223232591;56033538800;57439072400;57218526043;56152308300;","Recognition and counting of typical apple pests based on deep learning",2022,"Ecological Informatics","68",,"101556","","",,,"10.1016/j.ecoinf.2022.101556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123980800&doi=10.1016%2fj.ecoinf.2022.101556&partnerID=40&md5=c4d794283c5bacc1b2bde384e693df21","Apple pests; Counting; Data reorganisation; Deep learning; Image recognition; MPest-RCNN; Sex attractant","artificial intelligence; complexity; informatics; learning; recognition; sensitivity analysis",Article,Scopus,2-s2.0-85123980800
"Das N., Padhy N., Dey N., Mukherjee A., Maiti A.","57215155727;56417506600;57217748550;55453749200;57202332600;","Building of an edge enabled drone network ecosystem for bird species identification",2022,"Ecological Informatics","68",,"101540","","",,,"10.1016/j.ecoinf.2021.101540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122338036&doi=10.1016%2fj.ecoinf.2021.101540&partnerID=40&md5=5203e16cd58119b9eb59a98acbd823b4","Bioacoustics monitoring; Drone network; Edge computing; Random forest; Songbird","bioacoustics; computer simulation; experimental study; identification method; immunization; machine learning; monitoring system; songbird; vocalization",Article,Scopus,2-s2.0-85122338036
"Munro H.L., Montes C.R., Gandhi K.J.K., Poisson M.A.","57207244452;57193357119;7007022283;57190765634;","A comparison of presence-only analytical techniques and their application in forest pest modeling",2022,"Ecological Informatics","68",,"101525","","",,,"10.1016/j.ecoinf.2021.101525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122076320&doi=10.1016%2fj.ecoinf.2021.101525&partnerID=40&md5=988e26919dfd74d4ca439429c7ae894e","Generalized additive model; Gradient boosting; Insects; Machine learning; MaxEnt; Nonnative species; Random forest; Sirex noctilio.","analytical method; climate change; coniferous tree; ecological modeling; global climate; international trade; invasive species; pest species; Chile",Article,Scopus,2-s2.0-85122076320
"Wu T.-Y., Yeh K.-T., Hsu H.-C., Yang C.-K., Tsai M.-J., Kuo Y.-F.","57374177900;57374361600;55823026900;56193204900;57189464006;55823045200;","Identifying Fagaceae and Lauraceae species using leaf images and convolutional neural networks",2022,"Ecological Informatics","68",,"101513","","",,1,"10.1016/j.ecoinf.2021.101513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121274165&doi=10.1016%2fj.ecoinf.2021.101513&partnerID=40&md5=0753852db11ec4efa64831ecb540149e","Deep learning; Leaf morphology; Plant identification; Pruning; Saliency map","artificial island; artificial neural network; dicotyledon; ecological modeling; legume; pruning; woody plant; Taiwan",Article,Scopus,2-s2.0-85121274165
"Toğaçar M.","57205581917;","Using DarkNet models and metaheuristic optimization methods together to detect weeds growing along with seedlings",2022,"Ecological Informatics","68",,"101519","","",,,"10.1016/j.ecoinf.2021.101519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121274100&doi=10.1016%2fj.ecoinf.2021.101519&partnerID=40&md5=62322e4d7b0370bb88906e08cd898367","Decision support system; Deep learning; Metaheuristic optimization; Seedling species; Weeds","crop damage; detection method; ecological modeling; optimization; seedling; weed; weed control",Article,Scopus,2-s2.0-85121274100
"Akbal E., Dogan S., Tuncer T.","57195397805;25653093400;37062172100;","An automated multispecies bioacoustics sound classification method based on a nonlinear pattern: Twine-pat",2022,"Ecological Informatics","68",,"101529","","",,,"10.1016/j.ecoinf.2021.101529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121215847&doi=10.1016%2fj.ecoinf.2021.101529&partnerID=40&md5=781856aac6b70dda0b284a8c5169d048","Bioacoustics; Machine learning; Multispecies sound classification; Tunable Q-factor wavelet transform; Twine pattern","bioacoustics; bird; data set; detection method; frog; wavelet analysis",Article,Scopus,2-s2.0-85121215847
"Conradt J., Börner G., López-Urrutia Á., Möllmann C., Moyano M.","57221542910;57226708880;6602569062;6603955209;25930161400;","Automated Plankton Classification With a Dynamic Optimization and Adaptation Cycle",2022,"Frontiers in Marine Science","9",,"868420","","",,,"10.3389/fmars.2022.868420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128918233&doi=10.3389%2ffmars.2022.868420&partnerID=40&md5=99e4989ceaca5d49d8ae8088c2b5aaba","classification; deep neural networks; machine learning; model adaptation; plankton community",,Article,Scopus,2-s2.0-85128918233
"Viana D.S., Keil P., Jeliazkov A.","55376922800;23469432500;55641819500;","Disentangling spatial and environmental effects: Flexible methods for community ecology and macroecology",2022,"Ecosphere","13","4","e4028","","",,1,"10.1002/ecs2.4028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128903784&doi=10.1002%2fecs2.4028&partnerID=40&md5=cc8c2e661622778d98d076d97635d312","canonical analysis; Gaussian niche; metacommunity; random forest; spatial autocorrelation; species distribution models; variation partitioning",,Article,Scopus,2-s2.0-85128903784
"Symes L.B., Kittelberger K.D., Stone S.M., Holmes R.T., Jones J.S., Castaneda Ruvalcaba I.P., Webster M.S., Ayres M.","24503490600;57223099592;57641903800;7402013235;57640386700;57640889400;7202298572;7005230014;","Analytical approaches for evaluating passive acoustic monitoring data: A case study of avian vocalizations",2022,"Ecology and Evolution","12","4","e8797","","",,,"10.1002/ece3.8797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128864165&doi=10.1002%2fece3.8797&partnerID=40&md5=40f6bec1b85c451fa3818e0b419ea1d7","bioacoustics; biodiversity assessment; birdsong; Hubbard Brook Experimental Forest; passive acoustic monitoring; rarefaction",,Article,Scopus,2-s2.0-85128864165
"Yin C., Zeng T., Zhang H., Fu W., Wang L., Yao S.","57610898700;57535901000;56970632000;56970370400;57191276590;57611572700;","Maize Small Leaf Spot Classification Based on Improved Deep Convolutional Neural Networks with a Multi-Scale Attention Mechanism",2022,"Agronomy","12","4","906","","",,,"10.3390/agronomy12040906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128750627&doi=10.3390%2fagronomy12040906&partnerID=40&md5=94843a19652d573f18606f47f90346c1","deep learning; dilated inception; disease grading; multi-scale feature extraction; small spot disease",,Article,Scopus,2-s2.0-85128750627
"Zhou X., Yang W., Luo K., Tang X.","57211061297;7407756597;57324923900;55743734800;","Estimation of Aboveground Vegetation Water Storage in Natural Forests in Jiuzhaigou National Nature Reserve of China Using Machine Learning and the Combination of Landsat 8 and Sentinel-2 Data",2022,"Forests","13","4","507","","",,,"10.3390/f13040507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127977302&doi=10.3390%2ff13040507&partnerID=40&md5=7ceb46f02ab5934d1207841eb6f9b91d","aboveground vegetation water storage; China; machine learning; natural forests; Sentinel-2","Adaptive boosting; Climate change; Decision trees; Digital storage; Ecology; Forestry; Image enhancement; Machine learning; Mean square error; Aboveground vegetation water storage; China; LANDSAT; Machine learning approaches; Machine-learning; Mountainous area; Natural forests; Nature reserves; Sentinel-2; Water storage; Vegetation; Accuracy; China; Data; Ecology; Forestry; Forests; Machinery; Plants",Article,Scopus,2-s2.0-85127977302
"Gerhards R., Andújar Sanchez D., Hamouz P., Peteinatos G.G., Christensen S., Fernandez-Quintanilla C.","56268369000;36636731700;24075861600;16310536700;7201719310;6601951833;","Advances in site-specific weed management in agriculture—A review",2022,"Weed Research","62","2",,"123","133",,,"10.1111/wre.12526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126048516&doi=10.1111%2fwre.12526&partnerID=40&md5=74160e2a689b77890fd30260f5cf98d0","Artificial Intelligence; patch spraying; precision farming; robotic weeding; sensor technologies; weed mapping","algorithm; literature review; robotics; spray; weed control",Review,Scopus,2-s2.0-85126048516
"Sondhi Y., Jo N.J., Alpizar B., Markee A., Dansby H.E., Currea J.P., Fabian S.T., Ruiz C., Barredo E., Allen P., DeGennaro M., Kawahara A.Y., Theobald J.C.","57193932552;57272393300;57274105000;53880093600;57272637500;57202333636;57191258522;57200651907;57215723960;56594246300;22943330300;12805415000;9739678200;","Portable locomotion activity monitor (pLAM): A cost-effective setup for robust activity tracking in small animals",2022,"Methods in Ecology and Evolution","13","4",,"805","812",,,"10.1111/2041-210X.13809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125779538&doi=10.1111%2f2041-210X.13809&partnerID=40&md5=599cfe18191d3b3647afe2863d3abecd","activity detector; animal motion tracking; circadian rhythm; insect diel activity; low cost",,Article,Scopus,2-s2.0-85125779538
"Yan H., Ran Q., Hu R., Xue K., Zhang B., Zhou S., Zhang Z., Tang L., Che R., Pang Z., Wang F., Wang D., Zhang J., Jiang L., Qian Z., Zhang S., Guo T., Du J., Hao Y., Cui X., Wang Y.","57220801304;57209181180;54408762200;54394863400;56267637300;57194193762;57476740300;57194186777;56296774300;56909507000;57207881530;57476740400;57207955290;55712843100;56040844200;7409378778;7201788495;57209979577;14041631700;57243860700;57226822429;","Machine learning-based prediction for grassland degradation using geographic, meteorological, plant and microbial data",2022,"Ecological Indicators","137",,"108738","","",,,"10.1016/j.ecolind.2022.108738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125706225&doi=10.1016%2fj.ecolind.2022.108738&partnerID=40&md5=1fd6399e6cf3abe54a58ed47da9c824c","Biomarkers; Chinese northern grassland; Modeling and validation; Multi-source remote sensing data; Net primary productivity changing rate; Random forest","Biomarkers; Climate change; Complex networks; Decision trees; Ecosystems; Land use; Learning algorithms; Machine learning; Mean square error; Photosynthesis; Remote sensing; Chinese northern grassland; Geographics; Grassland degradation; Modeling and validation; Multi-source remote sensing data; Multi-Sources; Net primary productivity; Net primary productivity changing rate; Random forests; Remote sensing data; Forecasting; algorithm; artificial neural network; bacterium; biomarker; climate change; ecosystem structure; error analysis; grassland; human activity; land degradation; machine learning; model validation; net primary production; prediction; remote sensing; satellite data; soil microorganism; China",Article,Scopus,2-s2.0-85125706225
"Woo Kim Y., Kim T., Shin J., Lee D.-S., Park Y.-S., Kim Y., Cha Y.","57471953700;57220057282;57196039427;57197855490;16177785300;57471716500;35781762300;","Validity evaluation of a machine-learning model for chlorophyll a retrieval using Sentinel-2 from inland and coastal waters",2022,"Ecological Indicators","137",,"108737","","",,,"10.1016/j.ecolind.2022.108737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125545449&doi=10.1016%2fj.ecolind.2022.108737&partnerID=40&md5=d993f01f4c33e5b06424e6c28465b4db","Chlorophyll a; Inland and coastal waters; Land cover; Machine learning; MSI on-board Sentinel-2; Multiscale","Adaptive boosting; Chlorophyll; Estuaries; Forestry; Machine learning; Remote sensing; Chlorophyll a; Coastal waters; Gradient boosting; Inland waters; Land cover; Light gradients; Machine learning algorithms; Multiscale; Multispectral instrument on-board sentinel-2; Multispectral instruments; Lakes; agricultural land; chlorophyll a; coastal water; land cover; remote sensing; Sentinel; South Korea",Article,Scopus,2-s2.0-85125545449
"Kozhar O., Kim M.-S., Ibarra Caballero J., Klopfenstein N.B., Cannon P.G., Stewart J.E.","57204321152;8052363500;12784726200;6602509496;36443251600;36638599700;","Long evolutionary history of an emerging fungal pathogen of diverse tree species in eastern Asia, Australia and the Pacific Islands",2022,"Molecular Ecology","31","7",,"2013","2031",,,"10.1111/mec.16384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124829503&doi=10.1111%2fmec.16384&partnerID=40&md5=2fb0f3f8ae9764d3fc5f1a72e69c876a","brown root rot disease; disturbed ecosystems; evolutionary history; gene flow; genetic diversity; pathogen emergence; Phellinus noxius; population structure",,Article,Scopus,2-s2.0-85124829503
"Derkarabetian S., Paquin P., Reddell J., Hedin M.","24480781600;7003417762;6602531671;7003726680;","Conservation genomics of federally endangered Texella harvester species (Arachnida, Opiliones, Phalangodidae) from cave and karst habitats of central Texas",2022,"Conservation Genetics","23","2",,"401","416",,,"10.1007/s10592-022-01427-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122652171&doi=10.1007%2fs10592-022-01427-9&partnerID=40&md5=560ddbee5fa05db8629a87f2a49be182","Caves; Conservation genomics; Hydrologic barriers; Opiliones; Phylogeography; Troglomorphy; Ultraconserved elements","cave; conservation genetics; conservation status; endangered species; genetic analysis; genetic marker; genomics; habitat type; karst; landscape ecology; microhabitat; Austin [Texas]; Texas; United States",Article,Scopus,2-s2.0-85122652171
"Yang Y., Shen Z., Bissett A., Viscarra Rossel R.A.","57194400145;57221371781;12782495100;55900800400;","Estimating soil fungal abundance and diversity at a macroecological scale with deep learning spectrotransfer functions",2022,"SOIL","8","1",,"223","235",,,"10.5194/soil-8-223-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127581926&doi=10.5194%2fsoil-8-223-2022&partnerID=40&md5=4518e97f035367165dbbba5d6e693215",,"abundance; dominance; ecosystem function; fungus; machine learning; macroecology; microbial community; soil microorganism; species diversity",Article,Scopus,2-s2.0-85127581926
